product_id,default_code,sale_delay,multiple
63090,FLUKE700G29,41,1.0
137221,16220-2,11,1.0
4355,168975,11,10.0
4348,16504-1,11,6.0
28701,HI1756-2WS,11,1.0
31560,M21-375-C-342-YL,11,1.0
55990,PPP86G,11,1.0
28554,HCN1150BL,11,1.0
23029,DISCODURO,11,1.0
1947,13530,11,1.0
19517,ATQR30,11,10.0
402308,ABPMA_20HIMA3,33,1.0
31767,M71C-1000-595-RD,11,1.0
422932,20G1AJD710JN0NNNNN,15,1.0
12277,73220156,56,1.0
10720,5069OW16,14,1.0
4744,1756TBSH,133,1.0
49960,B30-R10000-KR-16,11,1.0
60441,C14G6,11,1.0
52202,800FALC1,15,1.0
3280,1492M5X10H6170,23,1.0
51651,25.20.77,11,1.0
46034,TRTH-24R08A,11,1.0
46616,TRTH-12R08A,11,1.0
378253,VEZ24R1290-2A,11,1.0
378410,VIZ24R1290-2A,11,1.0
41680,Y1523C9012,11,1.0
176787,65500631,56,50.0
134791,150643,22,1.0
5914,1SDA066678R1,11,1.0
7291,22BA2P3N114,173,1.0
7554,25BB048N104,15,1.0
7559,25BCTM1,82,1.0
7598,25CD024N114,15,1.0
163865,440TMRPSE100A,15,1.0
3698,1494HBA3N,15,1.0
7614,25CORERFB,89,1.0
186472,800GMPE99EX,15,1.0
301743,MPAIB3076CM14A,15,1.0
8072,2CDS251001R0204,11,1.0
8102,2CDS253001R0404,11,4.0
16533,9103A156,11,1.0
364466,T10S3RSS,30,1.0
5035,1786RG6,15,1.0
17539,AB14831XTR,11,1.0
41422,WL218LEZ1LP840XADS7,11,1.0
24051,EK2132V,11,1.0
49127,DP1N622420,25,1.0
58035,284EFVD2P3S10RRGSBGDB1EMI,45,1.0
300132,M7402A.,63,1.0
114237,RSXF2LEDP150KWFLMVOLTISDDBXD,11,1.0
380695,X276120,39,1.0
34472,PF19R1K20,11,1.0
397299,T075X000C1MBK,80,1.0
55668,1492MCAA120,15,1.0
57129,OOVC_A24P20G,11,1.0
560650,233900,11,1.0
59887,50921,27,1.0
31497,M-89-422,11,1.0
41185,VPS210G,34,1.0
26349,FLUKE123B/INT,160,1.0
31555,M21-375-595-GN,11,1.0
8914,42BTB2LBSLY4,15,1.0
400065,FLUKE393FC,11,1.0
45354,2CDS254001R0324,11,1.0
391221,egyser#3142C,11,1.0
226795,CCS8T5,25,1.0
231728,CTD244210LG,28,1.0
231403,CST-14A,11,1.0
4201,16001073,56,1.0
245031,E1769L18ERBB1B/A,11,1.0
231729,CTD24488LG,11,1.0
129807,1485GP1N5C,44,1.0
233603,DRB800R5,28,1.0
245051,E1769L30ERMS/A,11,1.0
245133,E1771A2B/B,11,1.0
245318,E1771IQ16/A,11,1.0
22942,DELLLATITUDE5280,11,1.0
266139,E90329,11,1.0
24933,EKQZ5979C5E,11,1.0
300634,MCD20165R5,28,1.0
312886,PPC1866,19,1.0
300170,M84017.,63,1.0
49122,MCMXD-DXD-2-FIS-E-FRD,11,1.0
3643,1492W4,15,1.0
358854,SE12PFRMR0,78,1.0
358882,SE25PFRMR0,78,1.0
358893,SE38PFRMR0,78,1.0
36276,RL16002,33,1.0
20324,BWS-CUD-EM,35,1.0
5416,194EA631753,15,1.0
415964,20G21RD5P0JA0NNNNN,20,1.0
7135,2198H040APT,62,1.0
57548,2198USBC,15,1.0
6408,2090CFBM7DFCEAF04,58,1.0
50548,1497AA7M63N,125,1.0
365972,THZ-12R08-2A,11,1.0
379274,VPS200R,11,1.0
379359,VRL-070C-5-K5-19EB16,11,1.0
70320,PGLD12135DC,35,1.0
4805,1763L16BWA,97,1.0
32136,MFT-01-425,11,1.0
17459,A74H7218SSLP3PT,28,1.0
69251,1606XLE240EC,95,1.0
130068,1485RP6R5D5,15,1.0
118843,10531000,56,5.0
7622,25FAN170C,15,1.0
59798,25FAN1FC,15,1.0
7625,25MAPFA,82,1.0
5285,193ED1DB,31,1.0
219717,ABOSSS_42AF-B1MAC1-F4,29,1.0
5522,194ENSP,15,1.0
230201,VRL-090C-25-K5-19DB19,11,1.0
14214,800TQAH2A,15,1.0
26767,FO-FLUKE59MAXESP,34,9.0
398575,847HHL26RG00060,38,1.0
431974,PLS REPAIR+_BIMBO_292892_30474926.1.5,11,1.0
299974,M61C-500-595-WT,11,1.0
70425,CON-RJ45-008M-M12-WP-5M,11,1.0
58451,MSJ6,11,1.0
118096,10344300,56,5.0
138328,1872A0051000,11,1.0
384216,FNM2,11,10.0
