product_id,stock,reserved_quantity,semanas_con_venta,ventas_totales,avg_semanal,cls,ultima_venta,code,desc
23,30.0,0.0,0.0,,0.0,D,2025-03-17,0010056,ÖLFLEX CLASSIC 100 300/500V 25G1
24,50.0,0.0,0.0,,0.0,D,2025-03-17,00100644,"ÖLFLEX CLASSIC 100 300/500V 3G1,5"
54,2.0,0.0,0.0,,0.0,D,2025-05-26,0015403,"ÖLFLEX 150 3G2,5"
67,152.0,0.0,0.0,,0.0,D,,0023138,ÖLFLEX SOLAR XLS-R 1X6 WH/BK
68,100.0,0.0,0.0,,0.0,D,,0023178,ÖLFLEX SOLAR XLR-R 1X6 WH/BK
171,30.0,0.0,1.0,50.0,1.0,D,2025-12-01,0030941,"UNITRONIC FD CP (TP) plus 6X2X0,5"
182,22.0,0.0,0.0,,0.0,D,2025-05-26,0034504,"UNITRONIC LiYCY 4x0,34"
224,22.0,0.0,1.0,160.0,1.0,D,2026-02-23,0036428,ÖLFLEX SERVO 2YSLCY-JB 4G6
232,120.0,0.0,0.0,,0.0,D,,0036447,ÖLFLEX SERVO 2YSLCYK-JB 3X50+3G10 BK
275,200.0,0.0,0.0,,0.0,D,,00462033,"ÖLFLEX HEAT 180 GLS 4G0,75"
284,70.0,0.0,0.0,,0.0,D,,00465223,"ÖLFLEX HEAT 180 EWKF 4G2,5"
287,18.0,0.0,0.0,,0.0,D,,0046617,ÖLFLEX HEAT 180 MS 12G1
292,20.0,0.0,0.0,,0.0,D,,0046901,"ÖLFLEX HEAT 180 H05SS-F EWKF 3G0,75"
313,4.0,0.0,0.0,,0.0,D,,REVISAR,REVISAR
314,4.0,0.0,0.0,,0.0,D,,REVISAR,REVISAR
348,21.0,0.0,0.0,,0.0,D,,019875,T0-1-15511/E
389,44.0,0.0,0.0,,0.0,D,,031820,Collarín 2.4 x 95 mm incoloro bolsa de 100 pz.
390,50.0,0.0,0.0,,0.0,D,,031827,Collarín 4.6 x 180 mm incoloro bolsa de 100 pz.
392,19.0,0.0,0.0,,0.0,D,,0321032104,"FUSE 5A, 32 V #0321032104 CUMMINS"
402,72.0,0.0,0.0,,0.0,D,,03V1M610Z,Tornillo de fijación   M6x10
421,24.0,0.0,0.0,,0.0,D,,045013065P,LAMP FLUORESCENTE F48 T8 (BAL/T12) 30W FA8 865 ALTO
422,13.0,0.0,0.0,,0.0,D,2024-08-19,048351,"T0-3-15513/E, # CAM SWITCH"
441,6.000000000000001,0.0,0.0,,0.0,D,,058T026LCP,MINI TWISTER ELECTRONICO E27 LUZ CALIDA 26W
443,983.0,0.0,0.0,,0.0,D,,05S12000142,Cordones Flexibles SPT (POT) 60° 300 V CAL.14
444,890.0,0.0,0.0,,0.0,D,,05S72000122,Cordones Flexibles SPT (POT) 60° 300 V CAL.12
446,69.00000000000001,0.0,0.0,,0.0,D,,REVISAR,REVISAR
515,44.0,0.0,0.0,,0.0,D,,09505037,"Tornillo tipo coche - 5/16"" x 3/4"""
522,2.0,0.0,0.0,,0.0,D,,REVISAR,REVISAR
525,1.0,0.0,0.0,,0.0,D,2025-10-06,09M153T078Z1,"5HP,875RPM,3PH,60HZ,254T,0940M,TEFC,F1,N"
571,7.000000000000001,0.0,0.0,,0.0,D,,10-1-45CS,"REMOTE ACC ASSY:SINGLE AC, RJ45"
575,26.0,0.0,0.0,,0.0,D,,REVISAR,REVISAR
576,36.0,0.0,0.0,,0.0,D,,REVISAR,REVISAR
577,34.0,0.0,0.0,,0.0,D,,REVISAR,REVISAR
582,19.0,0.0,0.0,,0.0,D,,REVISAR,REVISAR
601,2.0,0.0,0.0,,0.0,D,,1000100SIDCP30,30 A Safety Contactor
623,9.0,0.0,1.0,1.0,1.0,D,2026-03-09,10003000,H-B 6 AG PANEL MOUNT BASE
624,11.000000000000002,0.0,0.0,,0.0,D,,10004000,H-B 6 AD PANEL MOUNT BASE
644,1.9999999999999991,0.0,1.0,48.0,1.0,D,2025-12-29,1001,Pinza multiusos electricista  8-22 AWG.
651,5.0,0.0,0.0,,0.0,D,,10034700,H-B 10 SGR-LB 21 ZW. BOX MOUNT BASE
653,8.0,0.0,0.0,,0.0,D,,10038900,H-B 10 SDRL-LB 16 ZW. BOX MOUNT BASE
654,8.0,0.0,0.0,,0.0,D,2024-12-16,10040000,EPIC H-B 10 TG 16 ZW
656,7.000000000000001,0.0,0.0,,0.0,D,,10042800,EPIC H-B 10 TS-RO 21 ZW
662,39.0,0.0,0.0,,0.0,D,,1005266,MARCADOR DE PLASTICO PARA CABLES PXC 1005266 KMK 2
679,3.0,0.0,0.0,,0.0,D,,10073000,EPIC H-B 16 AD-BO
681,1.0000000000000004,0.0,0.0,,0.0,D,2024-12-30,10075900,H-B 16 SGRL-LB 21 ZW. BOX MOUNT BASE
689,1.9999999999999982,2.0,24.0,231.0,24.0,A,2026-04-13,100C09D10,IEC 9 A Contactor
698,6.000000000000001,0.0,13.0,69.0,13.0,A,2026-03-30,100C09EJ01,IEC 9 A Contactor
699,2.0000000000000013,2.0,22.0,199.0,22.0,A,2026-04-13,100C09EJ10,IEC 9 A Contactor
713,5.000000000000002,8.881784197001252e-16,5.0,18.0,5.0,B,2026-03-02,100C09KJ10,IEC 9 A Contactor
727,8.0,8.0,17.0,108.0,17.0,A,2026-04-06,100C12D10,IEC 12 A Contactor
732,0.0,0.0,5.0,8.0,5.0,B,2026-03-23,100C12EJ01,IEC 12 A Contactor
733,8.0,0.0,11.0,86.0,11.0,A,2026-03-30,100C12EJ10,IEC 12 A Contactor
753,0.0,0.0,16.0,77.0,16.0,A,2026-04-06,100C16D10,IEC 16 A Contactor
759,6.0,2.0,11.0,27.0,11.0,A,2026-04-06,100C16EJ10,IEC 16 A Contactor
776,1.0000000000000036,1.7763568394002505e-15,19.0,329.0,19.0,A,2026-04-06,100C23D10,IEC 23 A Contactor
784,8.881784197001252e-16,0.0,15.0,103.0,15.0,A,2026-04-13,100C23EJ10,IEC 23 A Contactor
807,2.0,2.0,16.0,133.0,16.0,A,2026-04-06,100C30D10,IEC 30 A Contactor
812,0.0,0.0,5.0,13.0,5.0,B,2026-02-23,100C30EJ10,IEC 30 A Contactor
822,2.0,0.0,6.0,29.0,6.0,B,2026-03-23,100C37D10,IEC 37 A Contactor
842,0.0,0.0,6.0,31.0,6.0,B,2026-03-09,100C43D00,IEC 43 A Contactor
843,0.0009999999999985576,0.0009999999999985576,9.0,319.00000000000006,9.0,B,2026-03-30,100C43D10,IEC 43 A Contactor
845,2.0,0.0,1.0,2.0,1.0,D,2025-10-27,100C43E00,IEC 43 A Contactor
865,28.000000000000004,0.0,7.0,93.0,7.0,B,2026-02-23,100C60D10,IEC 60 A Contactor
876,0.0,0.0,5.0,16.0,5.0,B,2026-01-19,100C72D10,IEC 72 A Contactor
940,6.000000000000001,0.0,0.0,,0.0,D,,100DAT1,CNTRL CIRCUIT TERM 100-D95 ...100-D180
962,3.0000000000000004,0.0,0.0,,0.0,D,,100DS211,Contactor Auxiliary Contact Block
983,2.0,0.0,1.0,7.0,1.0,D,2026-01-05,100FA02,Auxiliary Contact
985,18.0,0.0,11.0,127.0,11.0,A,2026-04-06,100FA11,Auxiliary Contact
988,2.000000000000001,2.0,17.0,160.0,17.0,A,2026-04-06,100FA22,Auxiliary Contact
994,0.0,0.0,7.0,57.0,7.0,B,2026-04-06,100FB22,Auxiliary Contact
999,88.00000000000001,0.0,0.0,,0.0,D,,100FMC,Marking Tag Cover
1000,8.0,0.0,0.0,,0.0,D,,100FMP,Marking Tag
1008,1.0,0.0,0.0,,0.0,D,2025-02-10,100FSV136,100C AC - DC MOV Surge Suppressor
1014,18.0,0.0,0.0,,0.0,D,2024-09-09,100K05D10M,IEC 5 A Miniature Contactor
1020,4.440892098500626e-16,0.0,1.0,3.0000000000000004,1.0,D,2025-11-24,100K05ZJ01,IEC 5 A Miniature Contactor
1021,-4.440892098500626e-16,0.0,5.0,9.0,5.0,B,2026-04-06,100K05ZJ10,IEC 5 A Miniature Contactor
1033,18.0,0.0,0.0,,0.0,D,,100K09KJ10M,IEC 9 A Miniature Contactor
1036,15.0,0.0,0.0,,0.0,D,,100K09ZJ01M,IEC 9 A Miniature Contactor
1038,1.0000000000000018,0.0,0.0,,0.0,D,2025-08-11,100K09ZJ10M,IEC 9 A Miniature Contactor
1045,12.0,0.0,0.0,,0.0,D,,100K12ZD01M,IEC 12 A CONTACTORES MINIATURA
1050,7.0,0.0,0.0,,0.0,D,,100KFA20EM,Auxiliary Contact
1052,1.0,0.0,0.0,,0.0,D,2025-04-28,100KFA31Z,Auxiliary Contact
1054,6.000000000000001,0.0,0.0,,0.0,D,,100KFA40EM,Auxiliary Contact
1055,1.0,0.0,0.0,,0.0,D,2025-05-05,100KFC04,Auxiliary Contact
1057,8.881784197001252e-16,8.881784197001252e-16,2.0,6.0,2.0,C,2026-02-09,100KFC22,Auxiliary Contact
1069,1.0,0.0,0.0,,0.0,D,2025-07-28,100MCA00,Mechanical Interlock
1070,0.0,0.0,6.0,23.0,6.0,B,2026-03-23,100MCA02,Mechanical/Electrical  Interlock
1075,8.0,0.0,0.0,,0.0,D,2025-10-20,100S9,Connector Kit
1079,4.440892098500626e-16,4.440892098500626e-16,4.0,25.0,4.0,C,2026-03-23,100SA11,Auxiliary Contact
1083,7.0,0.0,7.0,13.0,7.0,B,2026-02-09,100SB10,Auxiliary Contact
1084,0.0,0.0,5.0,17.0,5.0,B,2026-02-16,100SB11,Auxiliary Contact
1088,2.0,0.0,0.0,,0.0,D,2024-10-28,100SC09D14C,9 A Safety Contactor
1092,13.999999999999996,0.0,6.0,83.0,6.0,B,2026-04-06,100SC09EJ14C,9 A Safety Contactor
1094,62.00000000000001,62.00000000000001,6.0,59.0,6.0,B,2026-03-30,100SC09EJ23C,9 A Safety Contactor
1108,0.0,0.0,5.0,10.0,5.0,B,2026-03-30,100SC16EJ14C,16 A Safety Contactor
1154,1.0,0.0,0.0,,0.0,D,,100SD140EZJ22BC,140 A MCS D Safety Contactor
1169,1.0,0.0,1.0,1.0,1.0,D,2026-01-19,101020C0,EPIC H-B 24 AG/SO
1175,3.0000000000000004,0.0,0.0,,0.0,D,2025-02-03,10102900,EPIC H-B 24 AG-LB
1177,12.0,0.0,0.0,,0.0,D,2024-05-13,10103900,EPIC H-B 24 AD-LB
1181,8.881784197001252e-16,0.0,2.0,17.0,2.0,C,2026-03-09,10105000,H-B 24 SGRL 21 ZW. BOX MOUNT BASE
1190,1.0,0.0,0.0,,0.0,D,2025-02-03,10121900,EPIC H-B 24 TG-RO 21 ZW. HOOD
1192,5.0,0.0,0.0,,0.0,D,,10159381,H07V2-K BLANCO FRANJA AZUL 16 AWG (1.5MM2)
1206,8.0,0.0,0.0,,0.0,D,,10192000,EPIC H-BE 10 SS DR
1208,6.0,0.0,0.0,,0.0,D,2024-08-19,10193000,EPIC H-BE 10 BS DR
1213,2.9999999999999996,0.0,3.0,17.0,3.0,C,2026-03-16,10197000,EPIC H-BE 24 BS DR
1230,1.0000000000000009,0.0,1.0,5.0,1.0,D,2025-11-03,10250T5,OPERADOR OPRIMIR-JALAR     (I)
1251,32.3136,0.0,0.0,,0.0,D,,REVISAR,REVISAR
1255,1.0,0.0,0.0,,0.0,D,,REVISAR,REVISAR
1256,175.0,0.0,0.0,,0.0,D,,1032,Monitor Metálico en Zinc de 3/4''
1258,0.074,0.0,0.0,,0.0,D,,REVISAR,REVISAR
1260,20.0,0.0,0.0,,0.0,D,,1034,"Monitor Metálico en Zinc de 1 ¼"""
1265,446.63,0.0,0.0,,0.0,D,,REVISAR,REVISAR
1267,9.0,0.0,0.0,,0.0,D,,10381400,MCR 16 S FRAME F. MALE MODULES A-E
1268,9.0,0.0,0.0,,0.0,D,,10381500,MCR 16 B FRAME F. FEMALE MODULES A-E
1270,10.0,0.0,0.0,,0.0,D,2025-06-30,10381700,MCR 24 B FRAME F. FEMALE MODULES A-G
1272,10.0,0.0,0.0,,0.0,D,2025-06-30,10382500,EPIC MCB 10 CM (10)
1275,1.0,0.0,0.0,,0.0,D,,1039315,DULCOTEST DT1B PHOTOMETER
1276,7.000000000000001,0.0,0.0,,0.0,D,,10399000,EPIC MCS 4 CM MALE MODULE
1277,7.000000000000001,0.0,0.0,,0.0,D,,10399100,EPC MCB 4 CM FEMALE MODULE
1288,40.0,0.0,0.0,,0.0,D,,10400100,H-BE 10 SF MALE INSERT W. CLAMP SPRING
1296,3.0000000000000004,0.0,0.0,,0.0,D,2025-10-20,10401500,H-BE 24 BF 25-48 FEMALE INSERTM.KLEMMF
1300,1.0,0.0,0.0,,0.0,D,,10410,"Pinza de presión curva  Klein Lok 10"""
1306,10.0,0.0,0.0,,0.0,D,,10422000,EPIC H-A 3 AG PANEL MOUNT BASE
1307,3.0000000000000004,0.0,1.0,30.000000000000004,1.0,D,2025-10-27,10422500,EPIC H-A 3 MAG PANEL MOUNT BASE
1310,2.0,0.0,0.0,,0.0,D,,10427500,H-A 3 MTS 11 KPL. HOOD
