product_id,wh_id,on_hand,reserved_quantity,almacen
23,1,30.0,0.0,Almacén 1
24,1,50.0,0.0,Almacén 1
54,1,2.0,0.0,Almacén 1
67,1,152.0,0.0,Almacén 1
68,1,100.0,0.0,Almacén 1
153,12,0.0,0.0,Almacén 12
155,12,0.0,0.0,Almacén 12
171,10,30.0,0.0,Almacén 10
182,1,12.0,0.0,Almacén 1
182,4,10.0,0.0,Almacén 4
188,9,0.0,0.0,Almacén 9
191,9,0.0,0.0,Almacén 9
224,4,22.0,0.0,Almacén 4
232,4,120.0,0.0,Almacén 4
275,4,200.0,0.0,Almacén 4
284,1,70.0,0.0,Almacén 1
287,1,18.0,0.0,Almacén 1
292,9,20.0,0.0,Almacén 9
313,1,1.0,0.0,Almacén 1
313,9,3.0,0.0,Almacén 9
314,1,2.0,0.0,Almacén 1
314,9,2.0,0.0,Almacén 9
348,1,21.0,0.0,Almacén 1
348,12,0.0,0.0,Almacén 12
389,1,44.0,0.0,Almacén 1
390,1,50.0,0.0,Almacén 1
392,4,19.0,0.0,Almacén 4
402,1,72.0,0.0,Almacén 1
421,1,24.0,0.0,Almacén 1
422,1,13.000000000000002,0.0,Almacén 1
422,12,-1.7763568394002505e-15,0.0,Almacén 12
423,9,0.0,0.0,Almacén 9
441,1,6.000000000000001,0.0,Almacén 1
443,1,983.0,0.0,Almacén 1
444,1,890.0,0.0,Almacén 1
446,1,69.00000000000001,0.0,Almacén 1
515,4,44.0,0.0,Almacén 4
522,1,2.0,0.0,Almacén 1
525,1,1.0,0.0,Almacén 1
571,1,7.000000000000001,0.0,Almacén 1
575,1,26.0,0.0,Almacén 1
576,1,36.0,0.0,Almacén 1
577,1,34.0,0.0,Almacén 1
582,1,19.0,0.0,Almacén 1
601,1,2.0,0.0,Almacén 1
623,9,9.0,0.0,Almacén 9
624,10,11.000000000000002,0.0,Almacén 10
636,9,0.0,0.0,Almacén 9
636,56,0.0,0.0,Almacén 56
639,12,0.0,0.0,Almacén 12
640,12,0.0,0.0,Almacén 12
644,1,1.9999999999999991,0.0,Almacén 1
651,9,5.0,0.0,Almacén 9
653,1,8.0,0.0,Almacén 1
654,9,8.0,0.0,Almacén 9
656,1,7.000000000000001,0.0,Almacén 1
662,4,39.0,0.0,Almacén 4
679,1,3.0000000000000004,0.0,Almacén 1
679,12,-4.440892098500626e-16,0.0,Almacén 12
681,1,1.0000000000000004,0.0,Almacén 1
689,1,2.0,2.0,Almacén 1
689,4,-8.881784197001252e-16,0.0,Almacén 4
689,9,-4.440892098500626e-16,0.0,Almacén 9
689,10,-4.440892098500626e-16,0.0,Almacén 10
689,12,0.0,0.0,Almacén 12
690,9,0.0,0.0,Almacén 9
698,1,5.000000000000001,0.0,Almacén 1
698,10,1.0,0.0,Almacén 10
699,1,1.3322676295501878e-15,0.0,Almacén 1
699,4,-4.440892098500626e-16,0.0,Almacén 4
699,9,0.0,0.0,Almacén 9
699,10,4.440892098500626e-16,0.0,Almacén 10
699,12,2.0,2.0,Almacén 12
702,12,0.0,0.0,Almacén 12
709,4,0.0,0.0,Almacén 4
713,1,5.000000000000002,8.881784197001252e-16,Almacén 1
713,12,0.0,0.0,Almacén 12
718,1,0.0,0.0,Almacén 1
718,4,0.0,0.0,Almacén 4
726,10,0.0,0.0,Almacén 10
727,1,8.0,8.0,Almacén 1
732,12,0.0,0.0,Almacén 12
733,1,6.000000000000001,0.0,Almacén 1
733,10,2.0,0.0,Almacén 10
751,9,0.0,0.0,Almacén 9
753,4,0.0,0.0,Almacén 4
759,1,2.0,1.0,Almacén 1
759,4,1.0,0.0,Almacén 4
759,10,2.0,0.0,Almacén 10
759,12,1.0,1.0,Almacén 12
776,1,0.0,0.0,Almacén 1
776,4,1.0000000000000036,1.7763568394002505e-15,Almacén 4
776,9,0.0,0.0,Almacén 9
776,10,0.0,0.0,Almacén 10
776,12,0.0,0.0,Almacén 12
779,1,0.0,0.0,Almacén 1
783,12,0.0,0.0,Almacén 12
784,9,8.881784197001252e-16,0.0,Almacén 9
793,12,0.0,0.0,Almacén 12
796,1,0.0,0.0,Almacén 1
807,10,2.0,2.0,Almacén 10
810,12,0.0,0.0,Almacén 12
811,12,0.0,0.0,Almacén 12
812,12,0.0,0.0,Almacén 12
822,1,0.0,0.0,Almacén 1
822,9,2.0,0.0,Almacén 9
822,10,0.0,0.0,Almacén 10
822,12,0.0,0.0,Almacén 12
842,1,0.0,0.0,Almacén 1
842,10,0.0,0.0,Almacén 10
843,4,0.0009999999999985576,0.0009999999999985576,Almacén 4
845,1,2.0,0.0,Almacén 1
846,1,0.0,0.0,Almacén 1
846,12,0.0,0.0,Almacén 12
858,1,0.0,0.0,Almacén 1
859,4,0.0,0.0,Almacén 4
860,9,0.0,0.0,Almacén 9
860,12,0.0,0.0,Almacén 12
863,1,0.0,0.0,Almacén 1
865,1,13.0,0.0,Almacén 1
865,4,15.000000000000004,0.0,Almacén 4
866,12,0.0,0.0,Almacén 12
867,12,0.0,0.0,Almacén 12
868,1,0.0,0.0,Almacén 1
868,12,0.0,0.0,Almacén 12
876,9,0.0,0.0,Almacén 9
884,9,0.0,0.0,Almacén 9
940,1,6.000000000000001,0.0,Almacén 1
962,1,3.0000000000000004,0.0,Almacén 1
973,9,0.0,0.0,Almacén 9
983,1,2.0,0.0,Almacén 1
983,12,0.0,0.0,Almacén 12
984,1,0.0,0.0,Almacén 1
985,1,14.0,0.0,Almacén 1
985,4,0.0,0.0,Almacén 4
985,9,4.0,0.0,Almacén 9
986,4,0.0,0.0,Almacén 4
987,12,0.0,0.0,Almacén 12
988,9,2.000000000000001,2.0,Almacén 9
988,10,0.0,0.0,Almacén 10
989,4,0.0,0.0,Almacén 4
992,12,0.0,0.0,Almacén 12
994,1,0.0,0.0,Almacén 1
999,1,88.00000000000001,0.0,Almacén 1
1000,1,8.0,0.0,Almacén 1
1008,1,1.0,0.0,Almacén 1
1014,1,8.0,0.0,Almacén 1
1014,9,10.0,0.0,Almacén 9
1020,10,4.440892098500626e-16,0.0,Almacén 10
1021,1,-4.440892098500626e-16,0.0,Almacén 1
1021,9,0.0,0.0,Almacén 9
1028,12,0.0,0.0,Almacén 12
1033,1,13.000000000000002,0.0,Almacén 1
1033,9,5.0,0.0,Almacén 9
1035,1,0.0,0.0,Almacén 1
1036,1,4.0,0.0,Almacén 1
1036,10,11.0,0.0,Almacén 10
1037,4,0.0,0.0,Almacén 4
1037,10,0.0,0.0,Almacén 10
1038,1,1.0000000000000018,0.0,Almacén 1
1040,10,0.0,0.0,Almacén 10
1045,9,12.0,0.0,Almacén 9
1050,9,7.0,0.0,Almacén 9
1051,12,0.0,0.0,Almacén 12
1052,1,1.0,0.0,Almacén 1
1054,10,6.000000000000001,0.0,Almacén 10
1055,1,1.0,0.0,Almacén 1
1057,1,8.881784197001252e-16,8.881784197001252e-16,Almacén 1
1059,1,0.0,0.0,Almacén 1
1069,9,1.0,0.0,Almacén 9
1070,4,0.0,0.0,Almacén 4
1073,12,0.0,0.0,Almacén 12
1075,9,8.0,0.0,Almacén 9
1077,9,0.0,0.0,Almacén 9
1078,4,0.0,0.0,Almacén 4
1078,12,0.0,0.0,Almacén 12
1079,1,4.440892098500626e-16,4.440892098500626e-16,Almacén 1
1079,9,0.0,0.0,Almacén 9
1082,12,0.0,0.0,Almacén 12
1083,1,7.0,0.0,Almacén 1
1083,4,0.0,0.0,Almacén 4
1083,12,0.0,0.0,Almacén 12
1084,1,0.0,0.0,Almacén 1
1084,10,0.0,0.0,Almacén 10
1085,1,0.0,0.0,Almacén 1
1088,25,2.0,0.0,Almacén 25
1091,1,0.0,0.0,Almacén 1
1092,1,13.999999999999996,0.0,Almacén 1
1094,4,62.00000000000001,62.00000000000001,Almacén 4
1096,10,0.0,0.0,Almacén 10
1108,12,0.0,0.0,Almacén 12
1112,1,0.0,0.0,Almacén 1
1112,12,0.0,0.0,Almacén 12
1115,1,0.0,0.0,Almacén 1
1115,12,0.0,0.0,Almacén 12
1130,12,0.0,0.0,Almacén 12
1154,1,1.0,0.0,Almacén 1
1164,56,0.0,0.0,Almacén 56
1169,1,1.0,0.0,Almacén 1
1169,9,0.0,0.0,Almacén 9
1175,1,3.0000000000000004,0.0,Almacén 1
1177,1,12.0,0.0,Almacén 1
1181,4,8.881784197001252e-16,0.0,Almacén 4
1182,1,0.0,0.0,Almacén 1
1190,1,1.0,0.0,Almacén 1
1192,4,5.0,0.0,Almacén 4
1206,10,8.0,0.0,Almacén 10
