product_id,ventas_totales,clientes_unicos,code,desc,cls,avg_semanal
27661,90800.0,2,GCTHW10BC,General Cable Thw Ls 10 Awg Cab C Cn19 H 100 M,C,3783.3
29143,44800.0,1,SLY311,CABLE THW-LS CAL. 12 VERDE 100 MTS. MCA. INDIANA,D,1866.7
560448,34106.01,2,CSOS_DTIAUNIT,,C,1421.1
29136,34000.0,2,INDTHW10RC,CABLE THW-LS CAL. 10 ROJO 100 MTS. MCA. INDIANA,C,1416.7
29149,32000.0,1,INDTHW14VC,CABLE THW-LS CAL. 14 VERDE 100 MTS. MCA. INDIANA,D,1333.3
24021,28000.0,1,EK110303100,"THORQUETE TP2X ROJO 1/4""",D,1166.7
29904,24160.0,1,KBXDES14,CABLE DE CU DESNUDO CAL.14 MCA. KOBREX,D,1006.7
29903,24005.0,2,3900157,"CABLE DE CU DESNUDO CAL.12, MCA KOBREX.",C,1000.2
29133,23200.0,1,SLY304,CABLE THW-LS CAL. 10 NEGRO 100 MTS. MCA. INDIANA,D,966.7
29156,20000.0,1,SLY296,CABLE THW-LS CAL. 8 NEGRO 100 MTS. MCA. INDIANA,D,833.3
562201,20000.0,1,61723365,,D,833.3
29902,19288.0,1,3900153,"CABLE DE CUCABLE DE CU CUBIERTO NEGRO CAL.10, 600V",D,803.7
29919,17080.0,5,3000621,CABLE VINIKOB LS 105 THW-LS/THHW-LS 90°C 600 V CAL. 10 NEGRO ROLLO 100 MTS MCA. KOBREX,B,711.7
564780,15765.0,1,N00029,,D,656.9
421915,15300.0,1,3004241,,D,637.5
29926,15170.0,7,3000622,CABLE VINIKOB LS 105 THW-LS/THHW-LS 90°C 600 V CAL. 12 NEGRO ROLLO 100 MTS MCA. KOBREX,B,632.1
24022,12804.0,2,EK110404100,"THORQUETE TP2B-CAFE 16X40 5/16"" THORSMAN",C,533.5
29155,10400.0,1,SLY297,CABLE THW-LS CAL. 8 BLANCO 100 MTS. MCA. INDIANA,D,433.3
565794,10000.0,1,ER-KIB-CABLE-10-NEGR,,D,416.7
565796,10000.0,1,ER-KIB-CABLE-10-ROJO,,D,416.7
564773,9004.0,1,P00160,,D,375.2
